iteration,rtt_ms,status
1149,0.501,ok
1150,0.453,ok
1151,0.410,ok
1152,0.450,ok
1153,53.367,ok
1154,0.558,ok
1155,0.524,ok
1156,0.532,ok
1157,0.503,ok
1158,0.504,ok
1159,0.468,ok
1160,0.456,ok
1161,0.416,ok
1162,0.468,ok
1163,0.421,ok
1164,0.404,ok
1165,0.734,ok
1166,0.582,ok
1167,0.829,ok
1168,0.595,ok
1169,0.658,ok
1170,0.539,ok
1171,0.638,ok
1172,0.513,ok
1173,0.669,ok
1174,0.544,ok
1175,0.760,ok
1176,0.575,ok
1177,0.515,ok
1178,0.475,ok
1179,0.514,ok
1180,0.747,ok
1181,0.625,ok
1182,0.520,ok
1183,0.546,ok
1184,0.554,ok
1185,0.713,ok
1186,0.394,ok
1187,0.657,ok
1188,0.552,ok
1189,0.435,ok
1190,0.569,ok
1191,0.584,ok
1192,0.460,ok
1193,0.426,ok
1194,0.499,ok
1195,0.508,ok
1196,0.513,ok
1197,0.523,ok
1198,0.568,ok
1199,0.631,ok
1200,0.540,ok
1201,0.607,ok
1202,0.451,ok
1203,0.395,ok
1204,0.360,ok
1205,0.404,ok
1206,0.380,ok
1207,0.503,ok
1208,0.574,ok
1209,0.487,ok
1210,0.455,ok
1211,0.490,ok
1212,0.592,ok
1213,0.439,ok
1214,0.403,ok
1215,0.407,ok
1216,0.511,ok
1217,0.419,ok
1218,0.758,ok
1219,0.810,ok
1220,0.637,ok
1221,0.380,ok
1222,0.525,ok
1223,0.476,ok
1224,0.462,ok
1225,0.463,ok
1226,0.439,ok
1227,0.460,ok
1228,0.520,ok
1229,0.504,ok
1230,0.618,ok
1231,0.471,ok
1232,0.635,ok
1233,1.676,ok
1234,0.647,ok
1235,0.626,ok
1236,0.748,ok
1237,0.658,ok
1238,0.425,ok
1239,0.363,ok
1240,0.436,ok
1241,0.519,ok
1242,0.538,ok
1243,0.444,ok
1244,0.410,ok
1245,0.443,ok
1246,0.513,ok
1247,0.433,ok
1248,0.458,ok
1249,0.443,ok
1250,0.418,ok
1251,0.442,ok
1252,0.437,ok
1253,0.319,ok
1254,0.453,ok
1255,0.370,ok
1256,0.425,ok
1257,0.479,ok
1258,0.444,ok
1259,0.479,ok
1260,0.485,ok
1261,0.508,ok
1262,0.346,ok
1263,0.641,ok
1264,0.904,ok
1265,0.787,ok
1266,0.930,ok
1267,0.788,ok
1268,0.614,ok
1269,0.582,ok
1270,0.536,ok
1271,0.576,ok
1272,0.625,ok
1273,0.914,ok
1274,0.638,ok
1275,0.656,ok
1276,0.577,ok
1277,0.518,ok
1278,0.477,ok
1279,0.641,ok
1280,0.603,ok
1281,0.741,ok
1282,0.934,ok
1283,0.714,ok
1284,0.622,ok
1285,14.286,ok
1286,0.798,ok
1287,0.625,ok
1288,0.447,ok
1289,0.499,ok
1290,0.652,ok
1291,0.447,ok
1292,0.444,ok
1293,0.408,ok
1294,0.433,ok
1295,0.642,ok
1296,0.582,ok
1297,0.745,ok
1298,0.506,ok
1299,0.588,ok
1300,0.478,ok
1301,0.651,ok
1302,0.556,ok
1303,1.192,ok
1304,0.613,ok
1305,1.345,ok
1306,0.654,ok
1307,1.300,ok
1308,0.776,ok
1309,0.857,ok
1310,0.864,ok
1311,0.857,ok
